key,en,es,zh
<!MissingKey:76:Registration failed>,Registration failed,Registration failed,"血量：[color=cc241d]500[/color]
伤害：[color=cc241d]150/s（挥砍）或 100/s（啃食）[/color]
佩戴：[color=cc241d]---[/color]
类型：[color=cc241d]小型僵尸[/color]
速度：[color=cc241d]快，跳跃后慢[/color]
特点：[color=cc241d]骑乘海豚跃过碰到的第一株植物，随后丢弃海豚[/color]
弱点：[color=441D62]高大植物[/color]"
TOWERDEFENSE_PLANT_WALLNUTSQUASH_NAME,Squash Nut,Squash Nut,窝瓜坚果
TOWERDEFENSE_PLANT_SPLITPEA_NAME,Splitting Pod Shooter,Splitting Pod Shooter,裂荚射手
TOWERDEFENSE_ZOMBIE_NECROMANCERG_NAME,NecromancerG Zombie,NecromancerG Zombie,重生法师僵尸
<!MissingKey:80:Create match failed>,Create match failed,Create match failed,全息投影花盆
TOWERDEFENSE_PLANT_CABBAGECOB_NAME,Cabbage Cob Mortar,Cabbage Cob Mortar,玉米卷迫击炮
TOWERDEFENSE_PLANT_CATTAIL_NAME,Cyperus,Cyperus,猫尾草
TOWERDEFENSE_TIPS_NIGHT,SUN IS GOING DOWN,SUN IS GOING DOWN,太阳落山了!
TOWERDEFENSE_PLANT_RECACTUS_NAME,ReCactus,ReCactus,双发仙人掌
TOWERDEFENSE_PLANT_NUTLEAF_NAME,Nutleaf,Nutleaf,坚果保护伞
TOWERDEFENSE_PLANT_NUTPULT_NAME,Nut Sunflower,Nut Sunflower,坚果投手
TOWERDEFENSE_ZOMBIE_LADDER_NAME,Escalator Zombie,Escalator Zombie,扶梯僵尸
TOWERDEFENSE_ZOMBIE_SKELETUAR_NAME,Skeleton Gargantuar,Skeleton Gargantuar,骷髅伽刚特尔
TOWERDEFENSE_PLANT_ICESTINKY_NAME,Ice-Stinky,Ice-Stinky,水晶蜗牛
TOWERDEFENSE_ZOMBIE_YETIFOOTBALL_NAME,Olive Snowman Zombie,Olive Snowman Zombie,橄榄雪人僵尸
MAP_FRONTLAWN,Front Yard (Day),Front Yard (Day),前院(白天)
TOWERDEFENSE_PLANT_PEACAT_NAME,Pea Cat,Pea Cat,豌豆香蒲
TOWERDEFENSE_PLANT_PRIMALNUT_NAME,Primal-Nut,Primal-Nut,原始坚果
TOWERDEFENSE_PLANT_MINIPINATA_NAME,Minipinata,Minipinata,迷你软糖
TOWERDEFENSE_PLANT_ICESPEARPEA_NAME,Ice Spear Pea,Ice Spear Pea,冰锥射手
MAP_OUTSIDE_FRONTLAWN,Outside Front Yard,Outside Front Yard,外部前院
TOWERDEFENSE_ZOMBIE_IMPDIGGER_NAME,Imp Digger,Imp Digger,矿工小鬼僵尸
TOWERDEFENSE_PLANT_INSANIKELP_NAME,Insanikelp,Insanikelp,怪怪水草
<!MissingKey:99:Password is empty>,Password is empty,Password is empty,向你的防线投掷危险的冰炸弹。
AWARD_PACKET_PLANT,You got a new plant!,You got a new plant!,你获得了一株新植物!
TOWERDEFENSE_ZOMBIE_DIGGERGATLINGPEA_NAME,Gatling Pea Digger Zombie,Gatling Pea Digger Zombie,机枪矿工僵尸
TOWERDEFENSE_PLANT_THREECORNPULT_NAME,Three-Cornpult,Three-Cornpult,三线玉米投手
TOWERDEFENSE_ZOMBIE_NEWSPAPER_NAME,Newspaper zombie,Newspaper zombie,读报僵尸
TOWERDEFENSE_ZOMBIE_THREEPEATER_NAME,ThreePeater Zombie,ThreePeater Zombie,三线射手僵尸
TOWERDEFENSE_PLANT_SNOWWOOD_NAME,Ice Torch Stump,Ice Torch Stump,冰炬树桩
TOWERDEFENSE_PLANT_UMBRELLLEAF_NAME,Radish protection umbrella,Radish protection umbrella,叶子保护伞
TOWERDEFENSE_PLANT_MAGNETSHROOMICE_NAME,Frozen Magnet Mushroom,Frozen Magnet Mushroom,寒冰磁力菇
TOWERDEFENSE_PLANT_PUMPKINPEA_NAME,Peashooter Pumpkin,Peashooter Pumpkin,豆荚壳
TOWERDEFENSE_ZOMBIE_CORNPULT_NAME,Cornpult Zombie,Cornpult Zombie,玉米投手僵尸
TOWERDEFENSE_ZOMBIE_WINTERMELONPULT_NAME,WinterMelonpult Zombie,WinterMelonpult Zombie,冰瓜投手僵尸
TOWERDEFENSE_PLANT_PEAVASE_NAME,Pea Vase,Pea Vase,罐子豌豆射手
MAP_FRONTLAWN_NIGHT_COLD,Front Yard (Winter Night),Front Yard (Winter Night),前院(冬夜)
TOWERDEFENSE_PLANT_LILYPAD_NAME,lily Pad,lily Pad,睡莲
TOWERDEFENSE_ZOMBIE_PEASHOOTERSINGLE_NAME,PeashooterSingle Zombie,PeashooterSingle Zombie,豌豆僵尸
TOWERDEFENSE_PLANT_FEVERSTAR_NAME,Fever Starfruit,Fever Starfruit,狂热星
TOWERDEFENSE_PLANT_PLANTERN_NAME,Street lamp flower,Street lamp flower,路灯花
TOWERDEFENSE_PLANT_JALAGHOST_NAME,Ghost-Jalapeno,Ghost-Jalapeno,魔鬼辣椒
TOWERDEFENSE_PLANT_STARLEAF_NAME,Starleaf,Starleaf,杨桃保护伞
TOWERDEFENSE_PLANT_PANGOLDBEAN_NAME,Pan Gold-bean,Pan Gold-bean,淘金豆
TOWERDEFENSE_ZOMBIE_BALLOONJACKSON_NAME,Balloon Zombie,Balloon Zombie,气球舞王僵尸
TOWERDEFENSE_PLANT_GARLICPOT_NAME,Garlic pot,Garlic pot,大蒜花盆
TOWERDEFENSE_SHOVEL_COLD_NAME,Cold Shovel,Cold Shovel,寒冰铲
BGM_FRONTLAWN_NIGHT,Front Yard Night,Front Yard Night,前院(夜晚)
TOWERDEFENSE_PLANT_TWINSUNSHROOM_NAME,Twin-SunFlowerShroom,Twin-SunFlowerShroom,双子阳光向日葵
TOWERDEFENSE_PLANT_MEDICPLANTERN_NAME,Medic-Plantern,Medic-Plantern,治愈路灯花
LEVLE_EVENT_TIPS_PLAY,TipsPlay,TipsPlay,播放警告
TOWERDEFENSE_PLANT_GLOOMSQUASH_NAME,Gloomsquash,Gloomsquash,窝瓜忧郁菇
TOWERDEFENSE_PLANT_BYWZ_NAME,BYWZ,BYWZ,备用物资
TOWERDEFENSE_PLANT_DISGUISERSUNFLOWER_NAME,Disguiser Sunflower,Disguiser Sunflower,伪装的向日葵
TOWERDEFENSE_PLANT_PUFFSHROOM_NAME,Little Puffcap,Little Puffcap,小喷菇
TOWERDEFENSE_ZOMBIE_TARGET_NAME,Target Zombie,Target Zombie,标靶僵尸
TOWERDEFENSE_ZOMBIE_IMPHACKER_NAME,Hacker ImpZombie,Hacker ImpZombie,黑客小鬼僵尸
TOWERDEFENSE_PLANT_SPRINGFUMESHROOM_NAME,Spring Fumeshroom,Spring Fumeshroom,QQ弹弹大喷菇
TOWERDEFENSE_ZOMBIE_DISCOGARGANTUAR_NAME,Zombie Disco Gargantuar,Zombie Disco Gargantuar,暴走舞王伽刚特尔
TOWERDEFENSE_ZOMBIE_IMP_HYPNOSHROOM_NAME,Seashroom ImpZombie,Seashroom ImpZombie,魅惑菇小鬼僵尸
DIALOG_RESUME,RESUME,RESUME,继续游戏
TOWERDEFENSE_PLANT_JALAJOKER_NAME,Joker-Jalapeno,Joker-Jalapeno,黄油Joker
TUTORIAL_NORMAL,I'm a pro,I'm a pro,我是高手
TOWERDEFENSE_ZOMBIE_POLEVAULTING_NAME,Pole Vauting Zombie,Pole Vauting Zombie,撑杆僵尸
PLAYERS_MORDEN_IZM2_BACKYARD_LEVEL_NAME,Izm2 Swimming Pool Defense 2 - {LevelNumber},Izm2 Swimming Pool Defense 2 - {LevelNumber},我是僵尸3 - {LevelNumber}
TOWERDEFENSE_PLANT_WALLNUSHOOTER_NAME,Wallnut Shooter,Wallnut Shooter,坚果保龄球
TOWERDEFENSE_PLANT_THREECACTUS_NAME,ThreeCactus,ThreeCactus,三叶仙人掌
LEVLE_EVENT_CURRENTMAP_USE_STRIPE,CurrentMapUseStripe,CurrentMapUseStripe,使用当前地图限制红线
TOWERDEFENSE_ZOMBIE_GARGANTUAR_NAME,Gargantuar,Gargantuar,伽刚特尔
TOWERDEFENSE_PLANT_CATPOT_NAME,CatPot,CatPot,猫砂盆
TOWERDEFENSE_ZOMBIE_CHOMPER_NAME,Melonpult Zombie,Melonpult Zombie,大嘴花僵尸
TOWERDEFENSE_ZOMBIE_DUCK_NAME,Yellow Duck Zombie,Yellow Duck Zombie,小黄鸭僵尸
TOWERDEFENSE_ZOMBIE_ANGEL_NAME,Angel Zombie,Angel Zombie,天使僵尸
TOWERDEFENSE_PLANT_BUTTERGLOOMSHROOM_NAME,Butter GloomShroom,Butter GloomShroom,黄油忧郁菇
MAP_BACKYARD,Back Yard (Day),Back Yard (Day),后院(白天)
TOWERDEFENSE_PLANT_JALAPENOPEPE_NAME,Pickled Pepper,Pickled Pepper,泡椒炸弹
TOWERDEFENSE_ZOMBIE_SHARK_NAME,Shark Zombie,Shark Zombie,鲨鱼僵尸
START_GAME,Start,Start,开始游戏
TOWERDEFENSE_ZOMBIE_BOSS_NAME,Zombie Boss,Zombie Boss,僵王博士
TOWERDEFENSE_TIPS_HUGEWAVE,A HUGE WAVE OF ZOMBIES IS APPROACHINE!,A HUGE WAVE OF ZOMBIES IS APPROACHINE!,一大波僵尸正在接近!
TOWERDEFENSE_PLANT_POTSPIKE_NAME,Thorny flower pot,Thorny flower pot,地刺花盆
MAP_FRONTLAWN_EMPTY_BIG,"Front Yard (Day,Empty,Big Map)","Front Yard (Day,Empty,Big Map)",前院(白天裸地大地图)
TOWERDEFENSE_PLANT_GRAVEBUSTER_NAME,Grave Monument Eater,Grave Monument Eater,墓碑吞噬者
TOWERDEFENSE_ZOMBIE_AXE_NAME,Axe Zombie,Axe Zombie,板斧僵尸
MAP_HEAVEN,Heaven,Heaven,天堂
TOWERDEFENSE_PLANT_FUMESHROOMC_NAME,Cherry Fumeshroom,Cherry Fumeshroom,樱桃大喷菇
TOWERDEFENSE_PLANT_SUNFLOWERZ_NAME,Zombie SunFlower,Zombie SunFlower,僵尸向日葵
TOWERDEFENSE_ZOMBIE_DISCO_NAME,Disco Zombie,Disco Zombie,迪斯科僵尸
TOWERDEFENSE_PLANT_JALAPURIFY_NAME,Purify Jalapeno,Purify Jalapeno,净化辣椒
TOWERDEFENSE_ZOMBIE_BALLOON_NAME,Balloon Zombie,Balloon Zombie,气球僵尸
TOWERDEFENSE_PLANT_APPLE_NAME,Time-Stop AppleClock,Time-Stop AppleClock,苹果闹钟
TOWERDEFENSE_PLANT_GWC_NAME,‌Dog-tail,‌Dog-tail,狗尾草
TOWERDEFENSE_ZOMBIE_JACKBOX_NAME,Toy Box Zombie,Toy Box Zombie,玩偶匣僵尸
MAINMENU,Main Menu,Main Menu,主菜单
INGAME_DIFFICULT,Difficulty:%s,Difficulty:%s,难度:%s
TOWERDEFENSE_PLANT_TALLNUTPS_NAME,Primal Spike-Nut,Primal Spike-Nut,原始钢刺果
TOWERDEFENSE_ZOMBIE_JACKSONX_NAME,Dancing Zombie,Dancing Zombie,精英舞王僵尸
<!MissingKey:173:Email is empty>,Email is empty,Email is empty,小摔哥僵尸讨厌早八！
PLAYERS_MORDEN_IZM2_LEVEL_NAME,Izm2 Front Yard 1 - {LevelNumber},Izm2 Front Yard 1 - {LevelNumber},我是僵尸1 - {LevelNumber}
TOWERDEFENSE_ZOMBIE_SNORKLE_TANGLEKELP_NAME,Tangled Seaweed Zombie,Tangled Seaweed Zombie,缠绕潜水僵尸
TOWERDEFENSE_TIPS_NIGHT_DEEP,SUN IS GOING UP,SUN IS GOING UP,太阳开始慢慢升起了！
TOWERDEFENSE_PLANT_PUMPKINFIREICE_NAME,Ice Flame Pumpkin Head,Ice Flame Pumpkin Head,冰焰南瓜壳
TOWERDEFENSE_READYPLACEZOMBIES_PLACE,Place...,Place...,放置...
TOWERDEFENSE_PLANT_HOTDOG_NAME,Hot Dog Shooter,Hot Dog Shooter,热狗射手
MAP_CHESS,Chess,Chess,跳棋棋盘
TOWERDEFENSE_PLANT_ICESUNMINE_NAME,Ice SunMine,Ice SunMine,寒光土豆雷
TOWERDEFENSE_PLANT_SCAREDYSUNSHROOM_NAME,ScaredySunShroom,ScaredySunShroom,阳光胆小菇
TOWERDEFENSE_PLANT_DIAMONDSEED_NAME,Diamond Seed,Diamond Seed,钻石种子
TOWERDEFENSE_ZOMBIE_COBCANNON_NAME,CobCannon Zombie,CobCannon Zombie,玉米加农炮僵尸
TOWERDEFENSE_PLANT_SNOWPEA_NAME,Ice Archer,Ice Archer,寒冰射手
TOWERDEFENSE_ZOMBIE_FOOTBALLGARGANTUAR_NAME,Football Gargantuar,Football Gargantuar,冲锋橄榄伽刚特尔
INGAME_RESELECT,RESELECT LAST CARD,RESELECT LAST CARD,重选上次卡片
TOWERDEFENSE_PLANT_GLOOMPULT_NAME,Gloompult,Gloompult,忧郁菇投手
TOWERDEFENSE_PLANT_POTATOCOBCANNON_NAME,Potato Cannon,Potato Cannon,土豆加农炮
BGM_LOONBOON,Loonboon,Loonboon,小游戏
TOWERDEFENSE_READYSETPLANTS_READY,Ready..,Ready..,准备..
TOWERDEFENSE_PLANT_SUNBEAN_NAME,SunBean,SunBean,阳光豆
MAP_UNDEADVILLAGE_LAWN,"Undead Village (Night,Lawn)","Undead Village (Night,Lawn)",鬼灵村庄(草坪)
TOWERDEFENSE_PLANT_GARLICBOMB_NAME,Garlic-CherryBomb,Garlic-CherryBomb,大蒜炸弹
MAP_FRONTLAWN_NIGHT_EMPTY,"Front Yard (Night,Empty)","Front Yard (Night,Empty)",前院(夜晚裸地)
TOWERDEFENSE_ZOMBIE_GARGANTUARDIAMOND_NAME,Diamond Gargantuar,Diamond Gargantuar,钻石伽刚特尔
TOWERDEFENSE_SHOVEL_MAGNET_NAME,Magnetic shovel,Magnetic shovel,磁力铲
TOWERDEFENSE_ZOMBIE_DOLPHINMJ_NAME,Dancing King Dolphin Zombie,Dancing King Dolphin Zombie,舞王海豚僵尸
CHALLENGE_LEVEL_DIALMONDNAME_1,Cupid Battle - {LevelNumber},,魅惑菇射手 挑战 - {LevelNumber}
TOWERDEFENSE_PLANT_WALLNUT_NAME,Wallnut,Wallnut,坚果墙
CHALLENGE_LEVEL_DIALMONDNAME_2,Hypno DoomShroom Battle - {LevelNumber},,魅惑毁灭菇 挑战 - {LevelNumber}
CHALLENGE_LEVEL_DIALMONDNAME_3,God of Wealth Marigold Battle - {LevelNumber},,财神金盏花 挑战 - {LevelNumber}
TOWERDEFENSE_PLANT_WALLNUTZ_NAME,Zombie Wallnut,Zombie Wallnut,僵尸坚果
CHALLENGE_LEVEL_DIALMONDNAME_4,SunGod Bean Battle - {LevelNumber},,太阳神咖啡豆 挑战 - {LevelNumber}
CHALLENGE_LEVEL_DIALMONDNAME_5,Golden Goddess Marigold - {LevelNumber},,宝藏吞噬者 挑战 - {LevelNumber}
CHALLENGE_LEVEL_DIALMONDNAME_6,Pinata - {LevelNumber},,消消乐糖果 挑战 - {LevelNumber}
CHALLENGE_LEVEL_DIALMONDNAME_7,Cardless - {LevelNumber},,全息卡牌投影 挑战 - {LevelNumber}
MAP_TREASUREISLAND_BACKYARD_NIGHT,Gold and Silver Island Night,Gold and Silver Island Night,金银港(夜晚)
TOWERDEFENSE_PLANT_SUNPOT_NAME,Sunflower pot,Sunflower pot,阳光花盆
TOWERDEFENSE_PLANT_PUMPKIN_NAME,Pumpkin shell,Pumpkin shell,南瓜壳
MAP_OUTSIDE_BACKYARD_NIGHT,Outside Back Yard Night,Outside Back Yard Night,外部后院(夜晚)
BGM_CEREBRAW,Brain War,Brain War,解迷
TOWERDEFENSE_ZOMBIE_SHIELDARMOR_NAME,Zombie Shield,Zombie Shield,防爆门僵尸
TOWERDEFENSE_ZOMBIE_IMP_PEASHOOTERSINGLE_NAME,Seashroom ImpZombie,Seashroom ImpZombie,豌豆小鬼僵尸
PLAYERS_MORDEN_TREASUREISLAND_LEVEL_NAME,TreasureIsland Battle 7 - {LevelNumber},TreasureIsland Battle Battle 7 - {LevelNumber},金银港口7 - {LevelNumber}
LOAD_MOD,Load mod,Load mod,加载模组
TOWERDEFENSE_ZOMBIE_FOOTBALL_FUMESHROOM_NAME,Football FumeShroom Zombie,Football FumeShroom Zombie,大喷菇橄榄球僵尸
BGM_ULTIMATE_BATTLE,Ultimate Battle,Ultimate Battle,传送带
TOWERDEFENSE_PLANT_GIFTMACHINE_NAME,Gift Machine,Gift Machine,礼盒机
MAP_FRONTLAWN_NIGHT_BIG,"Front Yard (Night,Big Map)","Front Yard (Night,Big Map)",前院(夜晚大地图)
NEXTLEVEL,Next level,Next level,下一关
LOAD_PACKETBANK,Load packetbank,Load packetbank,加载卡牌库
TOWERDEFENSE_ZOMBIE_FLAG_NAME,Flag Zombie,Flag Zombie,摇旗僵尸
TOWERDEFENSE_ZOMBIE_ICETALLNUT_NAME,Nut Zombie,Nut Zombie,高冰果僵尸
MAP_OUTSIDE_FRONTLAWN_NIGHT,Outside Front Yard Night,Outside Front Yard Night,外部前院(夜晚)
TOWERDEFENSE_PLANT_JALAPULT_NAME,Jalapeno-Pult,Jalapeno-Pult,川菜投手
TOWERDEFENSE_ZOMBIE_NORMAL_NAME,Normal Zombie,Normal Zombie,普通僵尸
TOWERDEFENSE_ZOMBIE_CATAPULT_NAME,Catapult Zombie,Catapult Zombie,投石车僵尸
TOWERDEFENSE_ZOMBIE_FOOTBALLIMPBLACKWHITEEYES_NAME,BlackFootball ImpZombie,BlackFootball ImpZombie,冲锋黑橄榄小鬼僵尸
CHALLENGE_LEVEL_NAME_4,Hamburger Battle - {LevelNumber},,汉堡射手 挑战 - {LevelNumber}
TOWERDEFENSE_PLANT_WINTERMELONPULTX_NAME,Frozen Ice Melon Pitcher,Frozen Ice Melon Pitcher,极寒冰瓜投手
TOWERDEFENSE_PLANT_TALLNUTARMED_NAME,Armed Tall-nut,Armed Tall-nut,装甲高坚果
CHALLENGE_LEVEL_NAME_5,HotDog Battle - {LevelNumber},,热狗射手 挑战 - {LevelNumber}
TOWERDEFENSE_PLANT_GARLIC_NAME,Garlic,Garlic,大蒜
CHALLENGE_LEVEL_NAME_6,Doomshroom Cannon Battle - {LevelNumber},,毁灭加农炮 挑战 - {LevelNumber}
TOWERDEFENSE_PLANT_COFFEEBEAN_NAME,Coffee beans,Coffee beans,咖啡豆
TOWERDEFENSE_ZOMBIE_SNOWPEA_NAME,SnowPea Zombie,SnowPea Zombie,寒冰射手僵尸
CHALLENGE_LEVEL_NAME_7,Pea Cannon Battle - {LevelNumber},,豌豆大炮 挑战 - {LevelNumber}
CHALLENGE_LEVEL_NAME_1,QueenSunFlower Battle - {LevelNumber},,向日葵女王 挑战 - {LevelNumber}
CHALLENGE_LEVEL_NAME_2,WildPeashooter Battle - {LevelNumber},,狂野机枪射手 挑战 - {LevelNumber}
TOWERDEFENSE_ZOMBIE_SHADOW_NAME,Shadow Zombie,Shadow Zombie,影子僵尸
CHALLENGE_LEVEL_NAME_3,IceTallNut Battle - {LevelNumber},,高冰果 挑战 - {LevelNumber}
